,srcid,field,root,root-1,sigma,fwhm_snr,PBroad,PCauchy,REH,AdG,JEG,Old Comments,New Comments,final
688,72456,EGS,rubies-egs61-nod-v3,None,0.44951817963754637,3.2736960873051264,0.3469421033079366,4.0091421427532933e-19,1.0,0.0,,,,
689,57891,UDS,rubies-uds3-nod-v3,None,0.44890597614462613,1.9476865419698697,0.3465005151751228,0.036704481673150414,,,,,,
690,13713,EGS,rubies-egs52-nod-v3,None,0.44839934204643145,1.5794302309747268,0.34613498344885996,2.065108444804912e-18,,,,,,
691,38559,EGS,rubies-egs63-v4,None,0.44832668215342875,4.433978462043747,0.3460825532098047,0.9999989989341216,,,,,,
692,18009,UDS,rubies-uds1-nod-v3,None,0.4473520918623578,1.3494882598914077,0.34537913913758705,3.7494021338150406e-43,,,,,,
693,135890,UDS,rubies-uds32-nod-v3,None,0.4470146972553685,2.1333543977023353,0.34513555185329764,0.17722313170932114,,,,,,
694,163999,UDS,rubies-uds23-nod-v3,rubies-uds31-nod-v3,0.4458980312896003,1.5732186321638635,0.3443290955853239,3.7622136912753305e-81,,,,,,
695,26033,EGS,rubies-egs53-nod-v3,None,0.4449643030020601,1.4075880431112942,0.3436544485529446,0.0007464244730882125,,,,,,
696,42776,EGS,rubies-egs53-nod-v3,None,0.44251081767020717,1.9706477871401873,0.3418803959550456,7.272009527557105e-10,,,,,,
697,177526,UDS,rubies-uds31-nod-v3,None,0.44212123436062695,3.201766188314679,0.34159852069303126,0.5897962901942034,,,,,,
