,srcid,field,root,root-1,sigma,PBroad,PCauchy,REH,AdG,JEG,Comments,final
597,182853,UDS,rubies-uds21-nod-v3,,0.638433046918219,0.4768081754187495,1.0540335549895153e-22,,,,,
598,40260,EGS,rubies-egs62-v4,,0.6383005929873797,0.4767219739305769,0.0072164903693138,,,,,
599,15571,UDS,rubies-uds1-nod-v3,,0.6357379498319073,0.4750527631685298,8.264607064489792e-130,,,,,
600,57891,UDS,rubies-uds3-nod-v3,,0.6310310274510554,0.4719797627742049,0.0280222067079854,,,,,
601,44274,EGS,rubies-egs53-nod-v3,,0.6290021324264716,0.4706523398382878,0.9999998543426046,,,,,
602,143967,UDS,rubies-uds22-v4,,0.6271887214156092,0.4694644645492341,0.0037801208945657,,,,,
603,59981,EGS,rubies-egs63-nod-v3,,0.6246466448991712,0.467797001592454,0.0028474243526774,,,,,
604,39356,UDS,rubies-uds1-nod-v3,,0.6239050462370895,0.4673100539154744,4.206888189112324e-44,,,,,
605,168181,UDS,rubies-uds21-nod-v3,,0.6237180401962698,0.4671872266348548,0.0527809395414042,,,,,
606,36514,UDS,rubies-uds33-nod-v3,,0.6222497398364217,0.4662223358469041,4.647638882872121e-267,1.0,,,I don't buy it,
607,72296,EGS,rubies-egs61-v4,,0.6209049405148085,0.4653378296816983,0.0170111491833367,,,,Revisit,
608,22270,UDS,rubies-uds42-nod-v3,,0.6179661911828899,0.4634023749370962,0.0,,,,,
609,41615,EGS,rubies-egs61-nod-v3,,0.6167387891336774,0.4625929681486118,2.030707514316035e-192,0.0,,,,
610,152179,UDS,rubies-uds22-nod-v3,,0.6146019879911953,0.4611823987763036,9.69738794994173e-16,,,,,
611,136342,UDS,rubies-uds32-nod-v3,,0.6114897254663889,0.4591245817070133,9.60650999901949e-50,1.0,,,,
612,21975,UDS,rubies-uds42-nod-v3,,0.6101542882063852,0.4582403926620494,1.02226296697117e-07,,,,,
613,23137,UDS,rubies-uds43-nod-v3,,0.60955087033469,0.4578406350081634,9.069210626292483e-29,0.0,,,,
614,51853,UDS,rubies-uds3-nod-v3,,0.6087255269191293,0.4572936160184137,2.737057411548721e-15,,,,,
615,47212,EGS,rubies-egs63-nod-v3,,0.6087181380379285,0.4572887175928373,0.0021892505831155,,,,,
616,38096,UDS,rubies-uds2-nod-v3,,0.6074907938359799,0.456474749623426,0.2215474292434784,,,,,
617,174582,UDS,rubies-uds23-nod-v3,,0.6030577738194473,0.453529744018554,1.762997942281034e-06,,,,,
618,163121,UDS,rubies-uds31-nod-v3,,0.6029920279362492,0.4534860073788556,7.297877040795284e-09,,,,,
619,57113,UDS,rubies-uds2-nod-v3,,0.6026365485465793,0.4532494990598294,0.0536006133659508,,,,,
620,22380,EGS,rubies-egs63-nod-v3,,0.5994317995423815,0.4511150232199026,8.0614530827356e-35,,,,,
621,63759,UDS,rubies-uds2-nod-v3,,0.5985430878415182,0.4505223823888357,0.6785245778688898,,,,,
622,61804,EGS,rubies-egs62-nod-v3,,0.598197870943097,0.4502920881157264,1.7912290358718686e-89,,,,,
623,48747,UDS,rubies-uds2-v4,,0.5977326743222254,0.4499816801146239,0.0053522649857369,1.0,,,prism only,
624,33009,UDS,rubies-uds43-nod-v3,rubies-uds42-nod-v3,0.5972976469769669,0.4496913248131793,8.074981230979633e-159,,,,,
625,67860,EGS,rubies-egs62-nod-v3,,0.5962649612382884,0.4490017654033791,5.235611671209599e-42,,,,,
626,42481,EGS,rubies-egs53-v4,,0.5911806568754717,0.4456006182210311,0.7763734705958805,,,,,
627,14721,EGS,rubies-egs51-nod-v3,,0.5874074835324049,0.4430699310055566,4.961451243653124e-75,,,,,
628,140542,UDS,rubies-uds31-nod-v3,,0.5864701455202723,0.4424403818146735,1.9298976177023562e-112,,,,,
629,41653,UDS,rubies-uds33-nod-v3,,0.5837097640377011,0.44058440303773,2.112063819232574e-07,,,,,
630,39991,UDS,rubies-uds33-nod-v3,,0.5815973149212804,0.4391620480441883,3.137609919118969e-85,,,,,
631,14390,UDS,rubies-uds33-nod-v3,,0.58035751242958,0.4383264492452206,1.5040367358095524e-84,,,,,
632,16730,UDS,rubies-uds1-nod-v3,,0.5792999130068621,0.4376131757920802,1.4048531199626189e-08,,,,,
633,181370,UDS,rubies-uds31-nod-v3,,0.5757884482384293,0.4352418174572049,3.648743304904347e-250,,,,,
634,60322,EGS,rubies-egs63-nod-v3,,0.5722998782939558,0.4328811678206458,0.0060762288181617,,,,,
635,31258,UDS,rubies-uds33-v4,,0.5679074457431492,0.4299021841344645,1.0357354261917953e-07,,,,,
636,132068,UDS,rubies-uds22-nod-v3,,0.5677760118924711,0.4298129297789494,2.1918769487830256e-06,,,,,
637,26033,EGS,rubies-egs53-nod-v3,,0.5664570861770097,0.4289169025155704,0.0007654087688885,,,,,
638,147237,UDS,rubies-uds31-nod-v3,,0.5638788351098251,0.4271634050677597,0.0353297186907717,,,,,
639,14121,UDS,rubies-uds41-nod-v3,,0.5612383601507925,0.4253649442989998,1.3528205615484676e-18,,,,,
640,17064,UDS,rubies-uds41-nod-v3,,0.5587557861308255,0.4236715989930825,1.2230091233270698e-34,,,,,
641,9953,UDS,rubies-uds42-nod-v3,,0.5526956471263114,0.4195281654948802,1.6946503808970756e-15,,,,,
642,29509,EGS,rubies-egs53-v4,,0.5524080126576548,0.4193311578862342,9.461617473471156e-06,,,,,
643,64276,EGS,rubies-egs62-nod-v3,,0.5510307911003353,0.4183874328698344,2.5246139731455913e-27,,,,,
644,158198,UDS,rubies-uds31-nod-v3,,0.550343371716965,0.4179161186217467,1.760298412476108e-13,,,,,
645,26352,EGS,rubies-egs52-nod-v3,,0.5501512552282761,0.4177843662099297,1.6463048111647756e-36,,,,,
646,16429,EGS,rubies-egs63-nod-v3,,0.5492138378412209,0.4171412909230367,8.88727858491093e-52,,,,,
647,56928,UDS,rubies-uds3-nod-v3,,0.5461640466607335,0.4150468222381335,0.01173741437598,,,,,
648,35489,EGS,rubies-egs53-nod-v3,,0.5427004734737711,0.4126639518130197,7.808718943721575e-10,,,,,
649,41598,UDS,rubies-uds1-v4,,0.5379645643821809,0.4093984871389743,0.0545282131574262,,,,,
650,150607,UDS,rubies-uds31-nod-v3,,0.537502614990515,0.4090795208954448,0.0162470639943715,,,,,
651,73534,EGS,rubies-egs62-nod-v3,,0.5360288401363252,0.408061381441297,4.874729088639557e-58,,,,,
652,18956,UDS,rubies-uds41-nod-v3,,0.5355694253925668,0.407743835765425,0.815768822754411,,,,,
653,64580,EGS,rubies-egs62-nod-v3,,0.5347619524163438,0.4071855242604624,0.0003299537047659,,,,,
654,10366,EGS,rubies-egs51-nod-v3,,0.5329672388988282,0.4059437412517292,1.4009660985731136e-17,,,,,
655,144207,UDS,rubies-uds22-nod-v3,,0.5316781000145296,0.4050510376360692,1.6691539386993537e-33,,,,,
656,27193,UDS,rubies-uds43-nod-v3,,0.5267124983981188,0.4016067450544267,1.6837663896624255e-20,,,,,
657,50529,EGS,rubies-egs62-nod-v3,,0.5256289878860843,0.400853988172752,3.006529674745458e-25,,,,,
658,160483,UDS,rubies-uds32-nod-v3,,0.5249894448886191,0.4004094714821404,1.746725863314402e-05,,,,,
659,7452,UDS,rubies-uds42-nod-v3,,0.5223352562417668,0.398563074211356,6.651262889846858e-133,,,,,
660,42557,EGS,rubies-egs53-nod-v3,,0.5191199285453285,0.3963228879820279,2.6394987468201014e-66,,,,,
661,141218,UDS,rubies-uds21-nod-v3,,0.5183744977215421,0.3958029957036948,3.4699864798066324e-06,,,,,
662,64132,EGS,rubies-egs61-nod-v3,,0.5167063853621592,0.3946388620429203,1.556625901581528e-09,,,,,
663,131610,UDS,rubies-uds32-nod-v3,,0.5154865969461215,0.3937869668544869,6.593325505093906e-36,0.0,,,,
664,19865,EGS,rubies-egs51-nod-v3,,0.5152858238387192,0.3936466963652203,0.0041112727786233,,,,,
665,36334,UDS,rubies-uds3-nod-v3,,0.5129719385441299,0.3920290499101994,0.000664569040172,,,,,
666,59611,EGS,rubies-egs62-nod-v3,,0.5125059888469105,0.39170307001749,2.7656868789895916e-94,,,,,
667,53523,EGS,rubies-egs63-nod-v3,,0.5072595796753759,0.3880273043822963,2.7846154311551616e-19,,,,,
668,22647,EGS,rubies-egs53-nod-v3,,0.5069193999986757,0.3877886270161931,1.859972654899427e-06,,,,,
669,40204,UDS,rubies-uds2-nod-v3,,0.5061943567162733,0.3872797837477932,5.082117311249458e-12,,,,,
670,69321,EGS,rubies-egs62-nod-v3,,0.5060341292355124,0.3871673091506088,0.9627072960750336,0.0,,,,
671,37896,UDS,rubies-uds33-nod-v3,,0.5031185073716579,0.385119044582963,2.2764638207956197e-49,1.0,,,I don't buy it,
672,144696,UDS,rubies-uds23-nod-v3,,0.5027948827723188,0.3848915082057226,0.9134893149844596,,,,,
673,173825,UDS,rubies-uds21-nod-v3,,0.5025615408046936,0.3847274254344878,0.7075944174300188,,,,,
674,16843,UDS,rubies-uds33-nod-v3,,0.4990634983107988,0.3822653486870214,5.140682303567276e-100,1.0,,,,
675,18464,EGS,rubies-egs52-nod-v3,,0.4973260563386641,0.3810408599059935,7.448071324361666e-43,,,,,
676,62624,UDS,rubies-uds3-v4,,0.4972496870751347,0.3809870131942275,0.001480868360938,,,,,
677,157933,UDS,rubies-uds31-nod-v3,,0.4959425928520478,0.3800650857442961,0.4843398759390429,,,,,
678,36618,UDS,rubies-uds3-nod-v3,,0.4956019358274155,0.3798247132564367,6.063275348177275e-42,,,,,
679,959606,UDS,rubies-uds3-v4,,0.4942309413174219,0.3788569097061042,2.510646117475417e-13,,,,,
680,966377,EGS,rubies-egs61-nod-v3,,0.4934540816347453,0.3783082227009824,0.0001350064881049,,,,,
681,28359,UDS,rubies-uds41-nod-v3,,0.4901875497949196,0.3759988099414728,5.984534978643202e-20,,,,,
682,26554,UDS,rubies-uds33-nod-v3,,0.4899546480724083,0.3758340086626285,7.184287807272444e-05,,,,,
683,49188,EGS,rubies-egs63-v4,rubies-egs62-v4,0.4899520296644364,0.3758321557700038,1.2907505610313033e-33,,,,,
684,32052,UDS,rubies-uds1-v4,,0.4895662957212433,0.3755591686841791,0.999999996469404,,,,,
685,60404,UDS,rubies-uds2-nod-v3,,0.4892609881092579,0.375343063420637,0.8653073650102517,,,,,
686,148290,UDS,rubies-uds21-nod-v3,,0.4879476208058133,0.3744130573735869,0.1844529388674014,,,,,
687,37248,EGS,rubies-egs52-nod-v3,,0.4878176488274376,0.3743209907218259,1.2044323439176547e-10,0.0,,,,
688,38810,UDS,rubies-uds33-nod-v3,,0.485821769164701,0.3729064616093064,4.446970187170475e-06,,,,,
689,48309,EGS,rubies-egs61-nod-v3,rubies-egs52-nod-v3,0.485307980134339,0.3725421043930941,1.3709208694868645e-33,,,,,
690,144540,UDS,rubies-uds21-nod-v3,,0.4850302982045741,0.3723451464105863,1.9749073724845997e-22,1.0,,,,
691,146412,UDS,rubies-uds22-nod-v3,,0.4824637888096066,0.370523483812172,0.3035641823274325,,,,,
692,64983,UDS,rubies-uds3-nod-v3,,0.4810659659430074,0.3695303840780312,3.355092822092566e-09,,,,,
693,903227,EGS,rubies-egs52-nod-v3,,0.4795123826263019,0.3684258387255975,2.1052191702771143e-24,,,,,
694,36877,UDS,rubies-uds42-nod-v3,,0.4764933454788896,0.3662770529210881,2.5524315452585918e-45,,,,,
695,66787,EGS,rubies-egs53-nod-v3,,0.4751043729433952,0.3652874182284952,1.3239963558003816e-20,,,,,
696,36606,UDS,rubies-uds43-v4,,0.4720541049930608,0.3631118298687926,0.0452000187856669,,,,,
697,165412,UDS,rubies-uds31-nod-v3,,0.4719713058808624,0.3630527300422647,1.0717231265203304e-24,,,,,
698,154025,UDS,rubies-uds32-nod-v3,,0.4702728893000809,0.3618399358679795,5.28070578740707e-50,,,,,
699,124768,UDS,rubies-uds32-v4,,0.4673939170607276,0.3597819261343297,1.8396447645641615e-06,,,,,
700,59200,EGS,rubies-egs62-nod-v3,,0.4656094878097107,0.3585049495490743,1.08773907235288e-105,,,,,
701,45271,UDS,rubies-uds41-nod-v3,,0.4655868131878565,0.358488716257848,4.655279623234787e-13,,,,,
702,10254,UDS,rubies-uds42-nod-v3,,0.4634282727847789,0.3569425830330393,2.0235595850599366e-75,,,,,
703,177526,UDS,rubies-uds31-nod-v3,,0.4616293201258051,0.3556528351793435,0.6157455519899241,,,,,
704,171470,UDS,rubies-uds23-nod-v3,,0.4608554094814851,0.3550976549556142,1.0373055849232712e-58,,,,,
705,915796,EGS,rubies-egs52-v4,,0.4608104039856119,0.3550653632703105,0.0641516689698806,,,,,
706,170704,UDS,rubies-uds23-nod-v3,,0.4593727652518553,0.3540334976498782,0.0005687197458492,,,,,
707,183700,UDS,rubies-uds31-v4,,0.454489824662164,0.3505236859987179,0.01074660890951,,,,,
708,43391,EGS,rubies-egs53-nod-v3,,0.4492045134780663,0.3467158681300912,9.11994565224184e-07,,,,,
709,25525,UDS,rubies-uds43-nod-v3,,0.4462917738703714,0.3446135023998212,0.0001399981228356,,,,,
710,26590,EGS,rubies-egs52-nod-v3,,0.4458455074783859,0.3442911529871376,6.3495236991055095e-43,1.0,0.0,,,
711,48456,EGS,rubies-egs61-nod-v3,,0.4439374781388944,0.342912212756266,3.9317809545568845e-21,,,,,
712,19888,EGS,rubies-egs51-nod-v3,,0.4434166847911394,0.3425356302062132,0.7766323777660205,,,,,
713,945424,EGS,rubies-egs63-v4,,0.4419722876705208,0.3414907404427606,6.902448225022409e-11,,,,,
714,14272,UDS,rubies-uds41-nod-v3,,0.4400328830419696,0.3400867086995905,0.0348206424247146,,,,,
715,148303,UDS,rubies-uds32-nod-v3,,0.4340055844965563,0.3357156142435299,5.321445604834436e-35,,,,,
716,154958,UDS,rubies-uds23-v4,,0.4335903776079847,0.3354140764922028,0.9683306955545642,,,,,
717,956207,EGS,rubies-egs62-v4,rubies-egs63-v4,0.4328868712153587,0.3349030416658751,0.9301651815946008,,,,,
718,52221,EGS,rubies-egs61-nod-v3,,0.4290660295185186,0.3321248269315923,1.4887044619992815e-32,,,,,
719,61294,EGS,rubies-egs62-nod-v3,,0.4268197030899998,0.3304893456699337,1.0260047760606868e-146,,,,,
720,28613,UDS,rubies-uds1-nod-v3,,0.4258183636910366,0.3297597952832026,3.947271936236603e-106,,,,,
721,48424,EGS,rubies-egs62-nod-v3,,0.4255309481859191,0.3295503341689484,5.792007189052189e-09,,,,,
722,24484,EGS,rubies-egs52-nod-v3,,0.4252056228142991,0.329313214397189,0.0536300875995109,,,,,
723,126992,UDS,rubies-uds22-nod-v3,,0.4235487404304651,0.3281050546739911,6.742240819740685e-146,,,,,
724,64515,EGS,rubies-egs61-nod-v3,,0.4234864172117619,0.3280595934780483,1.36144492244335e-18,,,,,
725,50599,EGS,rubies-egs62-nod-v3,,0.4227705497076935,0.3275373233855115,1.547932892701152e-09,,,,,
726,55637,EGS,rubies-egs63-nod-v3,,0.4198575029794513,0.3254104455036004,1.4723406020857472e-95,,,,,
727,36473,EGS,rubies-egs53-nod-v3,,0.4192798711090716,0.324988394377906,8.789790491565862e-16,,,,,
728,150247,UDS,rubies-uds31-nod-v3,,0.4176254584474591,0.323779019863697,2.276326762669209e-05,,,,,
729,18271,EGS,rubies-egs51-nod-v3,,0.4162778140397161,0.3227932748488246,0.0018630823711146,,,,,
730,28026,EGS,rubies-egs52-nod-v3,,0.4159818780324212,0.3225767360243185,0.0497643788117047,,,,,
731,157966,UDS,rubies-uds22-nod-v3,,0.4154447367038684,0.3221836371762701,0.0473666000416481,,,,,
732,152096,UDS,rubies-uds32-v4,,0.4145193595752223,0.3215062080553264,0.9290769776962065,,,,,
733,34596,EGS,rubies-egs53-nod-v3,,0.4140713430689824,0.3211781408776554,1.0875023016512018e-11,,,,,
734,46607,UDS,rubies-uds1-nod-v3,,0.4136540339739389,0.3208725049357869,1.272060087949286e-07,,,,,
735,2969,EGS,rubies-egs52-nod-v3,,0.4118018315897505,0.3195153212077618,2.1608476053519945e-05,,,,,
736,21534,EGS,rubies-egs51-nod-v3,,0.4112366441654575,0.3191009790936027,4.695835484674292e-05,,,,,
737,155916,UDS,rubies-uds23-nod-v3,,0.4081629105631002,0.3168459241321998,0.0015723770407845,,,,,
738,38526,UDS,rubies-uds3-nod-v3,,0.4068693305155775,0.3158960373706584,0.2163943735365248,,,,,
739,25905,UDS,rubies-uds43-v4,rubies-uds42-v4,0.4036021627136932,0.3134947049359116,0.0013473640289228,,,,,
740,67943,EGS,rubies-egs61-nod-v3,,0.3993250682397705,0.3103463017206258,6.893806977628331e-20,,,,,
741,58080,EGS,rubies-egs62-nod-v3,,0.3981984723796991,0.3095161080763845,1.5985743609896e-12,,,,,
742,159029,UDS,rubies-uds32-nod-v3,,0.3935214716272158,0.3060656314997182,0.1344004391249992,,,,,
743,2350,EGS,rubies-egs52-nod-v3,,0.3934640532886866,0.3060232312560521,2.388546431307006e-37,,,,,
744,57212,EGS,rubies-egs61-v4,,0.3912586954533152,0.3043939735252907,0.0144393428355543,,,,,
745,55505,EGS,rubies-egs63-nod-v3,rubies-egs62-nod-v3,0.3903607424949198,0.3037301872767932,0.1984904421673135,,,,,
746,58875,EGS,rubies-egs63-nod-v3,,0.3903479820674859,0.3037207528147638,0.0117586151088421,,,,,
747,19509,EGS,rubies-egs52-nod-v3,,0.3902811618940929,0.3036713483427595,7.73472530495856e-309,,,,,
748,48473,UDS,rubies-uds2-nod-v3,,0.3898294215201282,0.3033373137042295,8.458787325981322e-78,,,,,
749,28560,EGS,rubies-egs51-nod-v3,,0.3877157767616939,0.3017736208260611,3.4703227177614507e-17,,,,,
750,141410,UDS,rubies-uds23-nod-v3,,0.3873815184167327,0.3015262160293705,0.1869240546914138,,,,,
751,72615,EGS,rubies-egs62-nod-v3,,0.3866739494815663,0.3010023958502373,0.3090705434515279,,,,,
752,51149,EGS,rubies-egs63-v4,,0.3850803684205958,0.2998221276632704,0.9901142474762504,,,,,
753,9981,UDS,rubies-uds43-nod-v3,,0.3823007143501851,0.2977616751158361,4.4761483235460194e-42,,,,,
754,29680,UDS,rubies-uds41-nod-v3,,0.3804352845074821,0.2963776731838239,0.4675725761529889,,,,,
